University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
Harvard University (HU),Health Policy,"$32,088",1.12,2021-2022,5th,"We receive a stipend years 1, 2 and 5 (or 6, depending on when you defend your PhD). No funding in years 3 and 4. No teaching or RA top-ups, no summer funding."
University of Pennsylvania,School of Social Policy & Practice,"$32,979",1.37,2022-2023,1st,
University of California - Los Angeles (UCLA),Community Health Sciences,"$58,000",2.24,2020-2021,,
Columbia University (CU) - Teachers College,Clinical Psychology,"$21,000",,2020-2021,2nd,
University of Kansas (KU),Communication Studies,"$17,750",0.87,2020-2021,6th and up,"Required campus fees are approx $250, but since I am dissertating I only have to enroll in 1 credit hour and don’t have to pay campus fees. Every other year you have to pay fees."
Northwestern University (NU),McCormick School of Engineering,"$35,196",1.45,2022-2023,3rd,University fellowship
University of Massachusetts - Amherst (UMass),Communication,"$26,400",1.15,2021-2022,1st,
University of Wisconsin - Madison (UW),Computer Science,"$21,597",0.95,2021-2022,1st,
University of Connecticut (UConn),Linguistics,"$22,300",0.92,2020-2021,1st,
University of Massachusetts - Lowell (UML),Criminology,"$18,000",0.64,2021-2022,1st,
University of California - Davis (UCD),Chemistry,"$30,900",1.29,2020-2021,4th,
University of North Carolina - Chapel Hill (UNC),Epidemiology,"$25,320",1.14,2020-2021,2nd,
,Second Language Acquisition,"$24,250",,2021-2022,2nd,
University of Wisconsin - Madison (UW),Second Language Acquisition,"$24,250",1.06,2021-2022,2nd,
University of California - Davis (UCD),Integrative Genetics and Genomics,"$35,000",1.46,2020-2021,3rd,
Boston University (BU),Graduate Program for Neuroscience,"$36,782",1.28,2021-2022,4th,Student fees are incorporated into students’ tuition scholarship
Harvard University (HU),Education,"$36,000",1.26,2020-2021,2nd,
University of Vermont (UVM),Complex Systems,"$28,000",1.08,2020-2021,4th,
Massachusetts Institute of Technology (MIT),Media Lab,"$38,872",1.39,2021-2022,1st,
University of Wisconsin - Madison (UW),Electrical and Computer Engineering,"$25,545",1.12,2020-2021,2nd,
Sam Houston State University,Criminal Justice,"$26,000",1.29,2021-2022,4th,
Sam Houston State University,Criminal Justice,"$26,000",1.29,2021-2022,4th,
Simon Fraser University,Computing Science,"$24,000",,2020-2021,3rd,
Cornell University (CU),ILR School,"$25,000",1.03,2017-2018,6th and up,"I’ve noted an approximate gross amount above. I received about $2100 a month for 9 months and $1500 a month over 3 months of summer (these are both net figures). Ithaca was an expensive place to live and we only got $500 in total per year towards conference expenses (which is ridiculous). After tax, this $500 translated to $410. This amount of $500 remained the SAME between 2011 and 2018 (duration of my program)."
University of Pennsylvania,Psychology,"$32,000",1.33,2021-2022,5th,
West Virginia University (WVU),Geology & Geography,"$25,650",1.15,2021-2022,5th,required fees do not include fees for summer credit (and 9 month salary is from negotiation for more money from PI)
University of Cincinnati (UC),Business Administration,"$20,600",1.07,2020-2021,1st,
University of Florida (UF),Social and Personality Psychology,"$18,363",0.81,2020-2021,1st,
University of Memphis,PhD. Psychology,"$17,000",0.76,2020-2021,3rd,stipend is 17k a year.
University of California - Santa Cruz,BMEB,"$31,000",1.15,2021-2022,4th,
University of Mississippi (Ole Miss),Psychology,"$33,000",1.52,2021-2022,1st,
George Washington University (GW),Education,"$26,500",0.86,2020-2021,,
Massachusetts Institute of Technology (MIT),Economics,"$35,181",1.26,2020-2021,2nd,
University of Washington (UW),iSchool,"$36,000",1.55,2021-2022,1st,
Washington State University (WSU),eecs,"$17,000",0.90,2020-2021,,
George Washington University (GW),Graduate school of education and human development,"$26,500",0.86,2020-2021,2nd,
University of Washington (UW),Information Science,"$26,250",1.13,2021-2022,1st,
University of Washington (UW),Human Centered Design & Engineering,"$26,232",1.13,2021-2022,1st,
CUNY Graduate School and University Center,Sociology,"$26,612",0.89,2020-2021,2nd,
Michigan State University (MSU),Social Work,"$21,450",1.05,2021-2022,,
Carnegie Mellon University (CMU),Robotics Institute,"$36,720",1.77,2020-2021,1st,
,Robotics Institute,"$36,720",,2020-2021,1st,
Carnegie Mellon University (CMU),Robotics Institute,"$3,060",0.15,2020-2021,1st,
University of Iowa (UI),Psychological and Brain Sciences,"$20,800",0.94,2021-2022,4th,
University at Albany - SUNY,Sociology,"$25,600",1.12,2020-2021,,International Student (= more fees)
Ohio State University (OSU),political science,"$25,100",1.25,2021-2022,5th,
Stony Brook University - SUNY,Psychology,"$25,000",0.90,2022-2023,4th,
University of California - Berkeley,Political Science,"$35,000",1.26,2020-2021,2nd,
Yale University (YU),School of the Environment,"$36,400",1.47,2021-2022,6th and up,"No automatic withholding, need to file quarterly"
Florida International University (FIU),Psychology,"$17,340",0.73,2020-2021,,
Georgetown University,Biology PhD,"$36,210",1.17,2021-2022,5th,Georgetown Alliance of Graduate Employees website on graduate pay lists the current stipend and other pay protections: https://www.wearegage.org/pay
University of Kansas (KU),Business,"$28,000",1.37,2020-2021,4th,
Stanford University (SU),Psychology,"$37,000",1.29,2015-2016,,
University of Chicago (UC),Neurobiology,"$34,000",1.40,2020-2021,,
Loyola University Chicago (LUC),Psychology,"$15,500",0.71,2011-2012,,
Columbia University (CU),Political Science,"$44,500",1.50,2020-2021,5th,
North Carolina State University (NCSU),"Communication, Rhetoric, and Digital Media","$18,600",0.81,2020-2021,4th,The fees are per semester and are FRANKLY absurd
University of California - Berkeley,Psychology,"$34,000",1.22,2020-2021,1st,
Washington University in St. Louis (Wash U),Political Science,"$27,952",1.35,2021-2022,2nd,"12 month stipend. Subsidized health, dental, and vision (total is around $300-$400 a year ish). Additional 5k research grant for anything research related. One time grant over program duration"
Northwestern University (NU),Driskill Graduate Program in Life Sciences,"$34,051",1.40,2021-2022,1st,
Northern Illinois University (NIU),Clinical Psychology,"$11,595",0.52,2020-2021,1st,"1,700 in fees per semester"
University of Pennsylvania,Annenberg School for Communication,"$40,000",1.66,2022-2023,1st,"yearly research and travel funds of $1,700"
University of California - Berkeley,Linguistics,"$53,500",1.93,2020-2021,1st,NSF GRFP + summer fieldwork funding
Duke University (DU),Psychology and Neuroscience,"$31,500",1.42,2021-2022,2nd,
University of Wisconsin - Madison (UW),Educational Policy Studies,$938,0.04,2020-2021,2nd,
University of California - Los Angeles (UCLA),Medical Scientist Training Program,"$37,500",1.45,2020-2021,1st,
,neuroscience,"$31,376",,2022-2023,6th and up,
University of Rochester (UR),neuroscience,"$31,376",1.47,2021-2022,6th and up,
University of Iowa (UI),Philosophy,"$19,828",0.89,2020-2021,3rd,"Additional $2,000/year over 9 months + $5,000/summer if receive the Recruitment Fellowship. Departmental funding guaranteed for five years upon acceptance, contingent upon fulfillment of TA duties."
Boston College (BC),social work,"$24,950",0.89,2021-2022,4th,
Stanford University (SU),Psychology,"$46,000",1.60,2020-2021,,
Harvard University (HU),Government,"$36,850",1.29,2021-2022,1st,I have additional fellowship awards which provide me with summer funding and a research time fellowship.
Harvard University (HU),Virology,"$40,019",1.40,2021-2022,4th,
Syracuse University,Psychology,"$22,675",1.06,2020-2021,2nd,
University of Kansas (KU),Journalism,"$16,300",0.80,2020-2021,3rd,
Carnegie Mellon University (CMU),Physics,"$25,200",1.46,2011-2012,1st,
University of Southern California (USC),History,"$30,000",1.16,2020-2021,6th and up,"Students on fellowship receive 12 month pay, while those TAing are on a 9-month pay schedule. So, as a grad student you are subject to varying pay cycles"
Pennsylvania State University (Penn State),Criminology,"$25,000",1.11,2020-2021,3rd,
Stanford University (SU),computer science,"$45,700",1.59,2020-2021,2nd,"housing costs are exorbitant, and on campus, and living costs too. This stipend does NOT cover at all."
University of Chicago (UC),"Crown Family School of Social Work, Policy, and Practice","$33,000",1.36,2022-2023,4th,
Northwestern University (NU),Civil and Environmental Engineering,"$33,676",1.39,2021-2022,4th,
University of Minnesota - Twin Cities (UM),Hubbard School of Journalism and Mass Communication,"$28,000",1.22,2021-2022,,Assistantship plus scholarships; fees covered separately
University of Washington (UW),nutrition,"$1,600",0.07,2022-2023,1st,
University of South Carolina (USC),Biological sciences,"$20,000",0.89,2020-2021,5th,
University of Michigan - Ann Arbor (UM),Computer Science,"$33,500",1.45,2022-2023,4th,
University of California - Davis (UCD),Psychology,"$25,000",1.04,2021-2022,5th,
Carnegie Mellon University (CMU),English,"$26,700",1.29,2021-2022,1st,
George Washington University (GW),Institute for Biomedical Sciences (IBS),"$33,000",1.07,2020-2021,1st,
University of British Columbia,Institute for the Oceans and Fisheries,"$28,000",,2021-2022,3rd,"The majority of my pay is from a fellowship, the department only covers my tuition and the 'normal' phd funding is on hold while I have this funding."
Cornell University (CU),Psychology,"$34,000",1.40,2021-2022,1st,"Before tax and miscellaneous fees, healthcare included"
University of Oregon (UO),Psychology,"$22,359",1.07,2020-2021,5th,
Indiana University,Psychological and Brain Sciences,"$23,400",1.08,2020-2021,5th,"Health, dental, and vision insurance included. Student assistantship guaranteed."
Florida International University (FIU),Chemistry,"$22,000",0.92,2020-2021,1st,
University of Maryland - Baltimore County (UMBC),Psychology,"$20,000",0.78,2021-2022,2nd,
University of Massachusetts - Amherst (UMass),Psychological and Brain Sciences,"$30,328",1.32,2020-2021,5th,My advisor guarantees summer funding for students. Not all advisors here do.
University of Oregon (UO),Psychology,"$24,081",1.15,2021-2022,6th and up,"For clinical psychology, we are also required to enroll for a few credits during the term that we defend, so if you defend while you're on internship, those several thousand dollars of tuition come out of your pocket."
Rutgers the State University of New Jersey - New Brunswick,Psychology,"$25,969",1.01,2018-2019,,For teaching assistantship
University of Alabama - Birmingham (UAB),Graduate biomedical sciences/ joint health sciences,"$30,000",1.39,2020-2021,2nd,
Boston University (BU),Psychological and Brain Sciences,"$20,000",0.70,2017-2018,1st,It was an 8 month salary (Sept-April)
University of Iowa (UI),Psychological and Brain Sciences,"$27,918",1.26,2022-2023,3rd,
University of North Texas (UNT),Political science,"$16,500",0.77,2021-2022,3rd,"Required fees are estimated based on having 2/3 courses funded each semester so one is not funded by the tuition benefit, but most PhD students in our department get that class funded via a scholarship."
CUNY Graduate School and University Center,Basic and Applied Social Psychology PhD,"$37,136",1.25,2021-2022,1st,"The original funding package I received when I matriculated in 2020 was $36,791. This consisted of a tuition award ($4,965/semester), a GCF Financial Aid Fellowship ($7,079.50/semester), and a Graduate Assistantship B ($12,702 distributed biweekly throughout the academic year, including the summer term). Through small grants and awards, I managed to increase my gross pay to $37,136."
Northwestern University (NU),History,"$34,576",1.43,2020-2021,2nd,Our activity fee ($125/quarter) was waived this year.
Ohio State University (OSU),"Agricultural, Environmental, and Development Economics","$30,680",1.53,2022-2023,5th,fellowship
University of Illinois - Urbana- Champaign (UIUC),Chemical and Biomolecular Engineering,"$34,000",1.55,2021-2022,1st,
University of Wisconsin - Madison (UW),Chemical and Biological Engineering,"$33,000",1.45,2022-2023,1st,
University of Utah,Computer Science,"$23,464",1.05,2022-2023,1st,
Boston University (BU),Electrical,"$37,000",1.29,2022-2023,1st,
University of California - Santa Barbara (UCSB),Philosophy,"$22,000",0.84,2020-2021,1st,
University of Houston (UH),,"$-8,000",-0.37,2022-2023,1st,
Cornell University (CU),Sociology,"$-30,000",-1.24,2020-2021,1st,
Johns Hopkins University (JHU),Public health,"$25,000",0.97,2022-2023,1st,
Rochester Institute of Technology (RIT),Photography,"$44,069",2.06,2022-2023,1st,
Washington University in St. Louis (Wash U),Earth and Planetary,"$40,000",1.93,2022-2023,1st,"$5000 more than usual stipend due to a fellowship, so normal stipend is ~35000."
University of Houston (UH),Biomedical engineering,"$-4,000",-0.18,2022-2023,1st,
University of Colorado - Boulder (UCB),Anthropology,"$23,074",0.90,2022-2023,1st,"+first year recruitment fellowships totaling $7,772.67 5 year guaranteed 23,464.88 funding (20 hrs/wk TA ship)"
University of Pittsburgh,Communication,"$24,432",1.18,2022-2023,1st,"TA contract. Health insurance, tuition, wellness fee, computing and network service fee, and security, safety and transportation"
Rochester Institute of Technology (RIT),Photography,"$5,000",0.23,2022-2023,1st,
Northwestern University (NU),dgp,"$35,196",1.45,2020-2021,1st,
Stony Brook University - SUNY,Computer Science,"$38,300",1.37,2022-2023,1st,22500$ for 9 months (TA Stipend) + 11000$ (Summer Support) + 5000 ( Chairman's fellowship every year for the first two years)
University of Florida (UF),Electrical and Computer Engineering,"$22,800",1.00,2021-2022,2nd,
University of Florida (UF),Electrical and Computer Engineering,"$22,800",1.00,2020-2021,1st,
University of North Carolina - Chapel Hill (UNC),Marine Sciences,"$32,000",1.44,2020-2021,2nd,
University of North Carolina - Chapel Hill (UNC),Marine Sciences,"$27,500",1.24,2020-2021,1st,
Indiana University,,"$16,250",0.75,2020-2021,,
University of Virginia (UVA),School of Medicine / biomedical sciences graduate program,"$32,500",1.42,2021-2022,4th,"32500 stipend pay, also receive health (student-not employee- group, AKA not great if you have dependents) and dental insurance. We do not TA. This amount is guaranteed for all years and payed by the school of medicine the first year and your PI starting your second year and on. We have gotten a raise about every other year to compensate for inflation in recent years but hard to say how that will continue."
